lot_id,stage,temp_c,vcore_mv,iddq_ua,leakage_na,fmax_mhz,yield_pct,notes
LOT-B01,FT,25,1100,139,7.9,3215,98.5,baseline
LOT-B01,FT,25,1100,140,8.0,3210,98.4,
LOT-B01,FT,25,1100,138,7.8,3220,98.6,
LOT-B02,FT,85,1100,192,11.8,2995,97.0,HTOL corner
LOT-B02,FT,85,1100,194,12.0,2990,96.8,
LOT-B02,FT,85,1100,193,11.9,2992,96.9,
LOT-B03,FT,25,1100,147,8.5,3170,98.0,
LOT-B03,FT,25,1100,118,8.1,2800,95.1,outlier: iddq dip + fmax drop - recheck ATE VDD sense line
LOT-B03,FT,25,1100,146,8.4,3175,98.1,
LOT-B04,FT,-40,1100,133,7.4,3270,98.9,cold corner
LOT-B04,FT,-40,1100,134,7.5,3265,98.8,
LOT-B04,FT,-40,1100,132,7.3,3275,99.0,
LOT-B05,FT,25,1100,148,8.6,3160,97.8,small lot re-check
LOT-B05,FT,25,1100,149,8.7,3155,97.7,
LOT-C01,CP,25,1000,95,4.2,3300,99.0,pre-FT sort
LOT-C01,CP,25,1000,96,4.1,3295,99.1,
